Total Deaths,Daily New Deaths,Total Cases,Total Recovery Cases,Active Cases
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0
0.0,0.0,71,0,71.0
0.0,0.0,71,0,71.0
0.0,0.0,142,0,142.0
0.0,0.0,284,0,284.0
0.0,0.0,426,0,426.0
0.0,0.0,497,0,497.0
0.0,0.0,711,0,711.0
0.0,0.0,782,0,782.0
0.0,0.0,782,0,782.0
0.0,0.0,996,0,996.0
0.0,0.0,1067,0,1067.0
0.0,0.0,1281,0,1281.0
0.0,0.0,1423,0,1423.0
0.0,0.0,1708,0,1708.0
0.0,0.0,2207,56,2151.0
0.0,0.0,2564,56,2508.0
0.0,0.0,2706,113,2593.0
0.0,0.0,2991,227,2764.0
0.0,0.0,3348,340,3008.0
1.0,1.0,4205,397,3807.0
1.0,0.0,5204,568,4635.0
2.0,1.0,5846,638,5206.0
4.0,2.0,5874,638,5232.0
6.0,2.0,5899,823,5070.0
7.0,1.0,5922,906,5009.0
10.0,3.0,5942,1104,4828.0
11.0,1.0,5961,1230,4720.0
11.0,0.0,5978,1498,4469.0
14.0,3.0,5993,1911,4068.0
15.0,1.0,6007,2196,3796.0
18.0,3.0,6019,2350,3651.0
20.0,2.0,6030,2591,3419.0
24.0,4.0,6040,2916,3100.0
31.0,7.0,6049,3628,2390.0
36.0,5.0,6057,4480,1541.0
38.0,2.0,6064,5087,939.0
42.0,4.0,6071,5176,853.0
47.0,5.0,6077,5222,808.0
59.0,12.0,6082,5293,730.0
73.0,14.0,6087,5376,638.0
82.0,9.0,6091,5550,459.0
