Country,Population,Density (P/sqr(km)),Land Area (sqr(km)),Median Age,Urban Population
China,1439323776,153,9388211,38,0.61
India,1380004385,464,2973190,28,0.35
Us,331002651,36,9147420,38,0.83
Indonesia,273523615,151,1811570,30,0.56
Pakistan,220892340,287,77088,23,0.35
Brazil,212559417,25,8358140,33,0.88
Nigeria,206139589,226,91077,18,0.52
Bangladesh,164689383,1265,13017,28,0.39
Russia,145934462,9,16376870,40,0.74
Mexico,128932753,66,1943950,29,0.84
Japan,126476461,347,364555,48,0.92
Ethiopia,114963588,115,1000000,19,0.21
Philippines,109581078,368,29817,26,0.47
Egypt,102334404,103,99545,25,0.43
Vietnam,97338579,314,31007,32,0.38
DR Congo,89561403,40,2267050,17,0.46
Turkey,84339067,110,76963,32,0.76
Iran,83992949,52,1628550,32,0.76
Germany,83783942,240,34856,46,0.76
Thailand,69799978,137,51089,40,0.51
United Kingdom,67886011,281,24193,40,0.83
France,65273511,119,547557,42,0.82
Italy,60461826,206,29414,47,0.69
Tanzania,59734218,67,8858,18,0.37
South Africa,59308690,49,1213090,28,0.67
Myanmar,54409800,83,65329,29,0.31
Kenya,53771296,94,56914,20,0.28
South Korea,51269185,527,9723,44,0.82
Colombia,50882891,46,1109500,31,0.8
Spain,46754778,94,4988,45,0.8
Uganda,45741007,229,19981,17,0.26
Argentina,45195774,17,2736690,32,0.93
Algeria,43851044,18,2381740,29,0.73
Sudan,43849260,25,1765048,20,0.35
Ukraine,43733762,75,57932,41,0.69
Iraq,40222493,93,43432,21,0.73
Afghanistan,38928346,60,65286,18,0.25
Poland,37846611,124,30623,42,0.6
Canada,37742154,4,9093510,41,0.81
Morocco,36910560,83,4463,30,0.64
Saudi Arabia,34813871,16,2149690,32,0.84
Uzbekistan,33469203,79,4254,28,0.5
Peru,32971854,26,1280000,31,0.79
Angola,32866272,26,1246700,17,0.67
Malaysia,32365999,99,32855,30,0.78
Mozambique,31255435,40,78638,18,0.38
Ghana,31072940,137,22754,22,0.57
Yemen,29825964,56,52797,20,0.38
Nepal,29136808,203,14335,25,0.21
Venezuela,28435940,32,88205,30,N.A.
Madagascar,27691018,48,581795,20,0.39
Cameroon,26545863,56,47271,19,0.56
Côte d'Ivoire,26378274,83,318,19,0.51
North Korea,25778816,214,12041,35,0.63
Australia,25499884,3,7682300,38,0.86
Niger,24206644,19,1266700,15,0.17
Taiwan,23816775,673,3541,42,0.79
Sri Lanka,21413249,341,6271,34,0.18
Burkina Faso,20903273,76,2736,18,0.31
Mali,20250833,17,1220190,16,0.44
Romania,19237691,84,23017,43,0.55
Malawi,19129952,203,9428,18,0.18
Chile,19116201,26,743532,35,0.85
Kazakhstan,18776707,7,2699700,31,0.58
Zambia,18383955,25,74339,18,0.45
Guatemala,17915568,167,10716,23,0.52
Ecuador,17643054,71,24836,28,0.63
Syria,17500658,95,18363,26,0.6
Netherlands,17134872,508,3372,43,0.92
Senegal,16743927,87,19253,19,0.49
Cambodia,16718965,95,17652,26,0.24
Chad,16425864,13,1259200,17,0.23
Somalia,15893222,25,62734,17,0.47
Zimbabwe,14862924,38,38685,19,0.38
Guinea,13132795,53,24572,18,0.39
Rwanda,12952218,525,2467,20,0.18
Benin,12123200,108,11276,19,0.48
Burundi,11890784,463,2568,17,0.14
Tunisia,11818619,76,15536,33,0.7
Bolivia,11673021,11,1083300,26,0.69
Belgium,11589623,383,3028,42,0.98
Haiti,11402528,414,2756,24,0.57
Cuba,11326616,106,10644,42,0.78
South Sudan,11193725,18,610952,19,0.25
Dominican Republic,10847910,225,4832,28,0.85
Czech Republic (Czechia),10708981,139,7724,43,0.74
Greece,10423054,81,1289,46,0.85
Jordan,10203134,115,8878,24,0.91
Portugal,10196709,111,9159,46,0.66
Azerbaijan,10139177,123,82658,32,0.56
Sweden,10099265,25,41034,41,0.88
Honduras,9904607,89,11189,24,0.57
United Arab Emirates,9890402,118,836,33,0.86
Hungary,9660351,107,9053,43,0.72
Tajikistan,9537645,68,13996,22,0.27
Belarus,9449323,47,20291,40,0.79
Austria,9006398,109,82409,43,0.57
Papua New Guinea,8947024,20,45286,22,0.13
Serbia,8737371,100,8746,42,0.56
Israel,8655535,400,2164,30,0.93
