Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,1,null,1,0,0
Feb 25,1,0,1,0,0
Feb 26,1,0,1,0,0
Feb 27,1,0,1,0,0
Feb 28,1,0,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,4,3,4,0,0
Mar 08,4,0,4,0,0
Mar 09,4,0,4,0,0
Mar 10,5,1,5,0,0
Mar 11,7,2,7,0,0
Mar 12,7,0,7,0,0
Mar 13,7,0,7,0,0
Mar 14,11,4,11,0,0
Mar 15,16,5,15,0,0
Mar 16,21,5,20,0,0
Mar 17,22,1,21,0,0
Mar 18,22,0,21,0,0
Mar 19,22,0,21,0,0
Mar 20,24,2,23,0,0
Mar 21,24,0,23,0,0
Mar 22,40,16,38,1,1
Mar 23,40,0,38,1,0
Mar 24,74,34,72,1,0
Mar 25,84,10,80,2,1
Mar 26,94,10,88,4,2
Mar 27,110,16,104,4,0
Mar 28,110,0,104,4,0
Mar 29,120,10,114,4,0
Mar 30,170,50,164,4,0
Mar 31,174,4,165,4,0
Apr 01,237,63,228,4,0
Apr 02,273,36,257,6,2
Apr 03,281,8,265,6,0
