Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,1,null,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,1,0,1,0,0
Mar 11,1,0,1,0,0
Mar 12,1,0,1,0,0
Mar 13,1,0,1,0,0
Mar 14,1,0,1,0,0
Mar 15,5,4,5,0,0
Mar 16,14,9,14,0,0
Mar 17,39,25,38,0,0
Mar 18,53,14,52,0,0
Mar 19,74,21,73,0,0
Mar 20,75,1,74,0,0
Mar 21,88,13,87,0,0
Mar 22,113,25,111,1,1
Mar 23,133,20,131,1,0
Mar 24,164,31,162,1,0
Mar 25,188,24,186,1,0
Mar 26,224,36,220,3,2
Mar 27,267,43,263,3,0
Mar 28,308,41,304,3,0
Mar 29,334,26,327,6,3
Mar 30,370,36,352,8,2
Mar 31,376,6,354,12,4
Apr 01,390,14,366,14,2
Apr 02,428,38,403,15,1
Apr 03,439,11,407,16,1
Apr 04,466,27,428,17,1
