Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,1,null,1,0,0
Mar 04,1,0,1,0,0
Mar 05,2,1,2,0,0
Mar 06,8,6,8,0,0
Mar 07,9,1,8,1,0
Mar 08,12,3,11,1,0
Mar 09,17,5,16,1,0
Mar 10,19,2,18,1,0
Mar 11,21,2,20,1,0
Mar 12,31,10,30,1,0
Mar 13,34,3,32,2,1
Mar 14,45,11,43,2,0
Mar 15,56,11,51,2,0
Mar 16,65,9,60,2,0
Mar 17,79,14,74,2,0
Mar 18,97,18,92,2,0
Mar 19,128,31,122,3,1
Mar 20,158,30,152,3,0
Mar 21,158,0,151,4,1
Mar 22,266,108,235,4,0
Mar 23,301,35,246,4,0
Mar 24,387,86,329,6,2
Mar 25,502,115,442,8,2
Mar 26,589,87,505,12,4
Mar 27,589,0,504,13,1
Mar 28,745,156,654,19,6
Mar 29,820,75,709,20,1
Mar 30,820,0,569,23,3
Mar 31,1054,234,787,27,4
Apr 01,1133,79,853,32,5
Apr 02,1265,132,973,36,4
Apr 03,1353,88,1045,42,6
Apr 04,1451,98,1129,43,1
