Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,1,null,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,1,0,1,0,0
Mar 11,1,0,1,0,0
Mar 12,6,5,6,0,0
Mar 13,8,2,8,0,0
Mar 14,20,12,20,0,0
Mar 15,28,8,28,0,0
Mar 16,52,24,51,0,0
Mar 17,78,26,77,0,0
Mar 18,110,32,109,0,0
Mar 19,122,12,121,0,0
Mar 20,136,14,135,0,0
Mar 21,160,24,159,0,0
Mar 22,194,34,192,0,0
Mar 23,235,41,233,0,0
Mar 24,249,14,235,0,0
Mar 25,265,16,249,0,0
Mar 26,290,25,271,1,1
Mar 27,329,39,300,1,0
Mar 28,407,78,376,1,0
Mar 29,424,17,391,3,2
Mar 30,482,58,449,3,0
Mar 31,532,50,499,3,0
Apr 01,571,39,536,4,1
Apr 02,663,92,623,7,3
Apr 03,736,73,686,7,0
