Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,15,null,5,0,0
Feb 16,15,0,5,0,0
Feb 17,15,0,5,0,0
Feb 18,15,0,5,0,0
Feb 19,15,0,5,0,0
Feb 20,17,2,6,0,0
Feb 21,19,2,8,0,0
Feb 22,21,2,10,0,0
Feb 23,22,1,11,0,0
Feb 24,22,0,11,0,0
Feb 25,22,0,7,0,0
Feb 26,23,1,8,0,0
Feb 27,23,0,8,0,0
Feb 28,25,2,10,0,0
Feb 29,25,0,10,0,0
Mar 01,29,4,13,1,1
Mar 02,33,4,17,1,0
Mar 03,39,6,17,1,0
Mar 04,53,14,30,2,1
Mar 05,60,7,36,2,0
Mar 06,63,3,39,2,0
Mar 07,74,11,49,3,1
Mar 08,83,9,58,3,0
Mar 09,93,10,68,3,0
Mar 10,116,23,91,3,0
Mar 11,128,12,101,3,0
Mar 12,156,28,127,3,0
Mar 13,199,43,170,3,0
Mar 14,248,49,218,3,0
Mar 15,300,52,268,5,2
Mar 16,401,101,369,5,0
Mar 17,455,54,423,5,0
Mar 18,596,141,547,6,1
Mar 19,756,160,703,7,1
Mar 20,928,172,875,7,0
Mar 21,1072,144,1019,7,0
Mar 22,1609,537,1514,7,0
Mar 23,1887,278,1762,7,0
Mar 24,2317,430,2191,8,1
Mar 25,2676,359,2547,11,3
Mar 26,3050,374,2867,13,2
Mar 27,3378,328,3195,13,0
Mar 28,3635,257,3451,14,1
Mar 29,4163,528,3902,17,3
Mar 30,4460,297,4197,19,2
Mar 31,4763,303,4398,20,1
Apr 01,5048,285,4680,23,3
Apr 02,5314,266,4704,25,2
Apr 03,5454,140,4841,28,3
