Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,2,null,2,0,0
Feb 26,2,0,2,0,0
Feb 27,5,3,5,0,0
Feb 28,7,2,7,0,0
Feb 29,10,3,10,0,0
Mar 01,14,4,14,0,0
Mar 02,18,4,18,0,0
Mar 03,24,6,24,0,0
Mar 04,29,5,29,0,0
Mar 05,43,14,41,0,0
Mar 06,66,23,64,0,0
Mar 07,81,15,79,0,0
Mar 08,104,23,102,0,0
Mar 09,131,27,129,0,0
Mar 10,182,51,178,0,0
Mar 11,246,64,242,0,0
Mar 12,361,115,356,1,1
Mar 13,504,143,497,1,0
Mar 14,655,151,648,1,0
Mar 15,860,205,853,1,0
Mar 16,1018,158,1007,3,2
Mar 17,1332,314,1319,4,1
Mar 18,1646,314,1633,4,0
Mar 19,2179,533,2164,6,2
Mar 20,2649,470,2634,6,0
Mar 21,2992,343,2975,8,2
Mar 22,3582,590,3557,16,8
Mar 23,4474,892,4444,21,5
Mar 24,5283,809,5246,28,7
Mar 25,5588,305,5548,31,3
Mar 26,6909,1321,6748,49,18
Mar 27,7697,788,7414,58,9
Mar 28,8271,574,7978,68,10
Mar 29,8788,517,8223,86,18
Mar 30,9618,830,8874,108,22
Mar 31,10180,562,8957,128,20
Apr 01,10711,531,9129,146,18
Apr 02,11129,418,9222,158,12
