Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,1,null,1,0,0
Feb 29,3,2,3,0,0
Mar 01,3,0,3,0,0
Mar 02,3,0,3,0,0
Mar 03,3,0,3,0,0
Mar 04,3,0,3,0,0
Mar 05,6,3,6,0,0
Mar 06,9,3,9,0,0
Mar 07,9,0,9,0,0
Mar 08,9,0,9,0,0
Mar 09,9,0,9,0,0
Mar 10,11,2,11,0,0
Mar 11,11,0,8,0,0
Mar 12,15,4,11,1,1
Mar 13,15,0,11,1,0
Mar 14,19,4,12,1,0
Mar 15,23,4,16,1,0
Mar 16,25,2,18,1,0
Mar 17,34,9,27,1,0
Mar 18,34,0,26,1,0
Mar 19,44,10,36,1,0
Mar 20,44,0,36,1,0
Mar 21,53,9,41,1,0
Mar 22,65,12,53,1,0
Mar 23,72,7,61,1,0
Mar 24,87,15,76,1,0
Mar 25,93,6,81,2,1
Mar 26,122,29,104,3,1
Mar 27,165,43,147,3,0
Mar 28,182,17,163,4,1
Mar 29,209,27,190,4,0
Mar 30,273,64,243,4,0
Mar 31,298,25,267,5,1
Apr 01,359,61,328,5,0
Apr 02,400,41,369,5,0
Apr 03,443,43,406,5,0
Apr 04,521,78,484,5,0
