Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,0,null,0,0,0
Mar 14,0,null,0,0,0
Mar 15,1,null,1,0,0
Mar 16,1,0,1,0,0
Mar 17,1,0,1,0,0
Mar 18,1,0,1,0,0
Mar 19,3,2,3,0,0
Mar 20,4,1,4,0,0
Mar 21,4,0,4,0,0
Mar 22,4,0,4,0,0
Mar 23,4,0,4,0,0
Mar 24,5,1,4,0,0
Mar 25,5,0,4,0,0
Mar 26,9,4,8,0,0
Mar 27,10,1,9,0,0
Mar 28,10,0,9,0,0
Mar 29,14,4,13,0,0
Mar 30,14,0,13,0,0
Mar 31,14,0,13,0,0
Apr 01,21,7,19,1,0
Apr 02,24,3,22,1,0
Apr 03,24,0,21,3,2
