Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,2,null,2,0,0
Feb 25,23,21,23,0,0
Feb 26,33,10,33,0,0
Feb 27,33,0,33,0,0
Feb 28,38,5,38,0,0
Feb 29,41,3,41,0,0
Mar 01,47,6,47,0,0
Mar 02,49,2,49,0,0
Mar 03,49,0,49,0,0
Mar 04,52,3,51,0,0
Mar 05,55,3,51,0,0
Mar 06,60,5,56,0,0
Mar 07,85,25,79,0,0
Mar 08,85,0,71,0,0
Mar 09,109,24,87,0,0
Mar 10,110,1,80,0,0
Mar 11,195,85,160,0,0
Mar 12,197,2,162,0,0
Mar 13,210,13,166,0,0
Mar 14,212,2,152,0,0
Mar 15,214,2,137,0,0
Mar 16,228,14,146,1,1
Mar 17,241,13,152,1,0
Mar 18,256,15,160,1,0
Mar 19,279,23,168,1,0
Mar 20,298,19,172,1,0
Mar 21,310,12,184,1,0
Mar 22,334,24,183,2,1
Mar 23,377,43,211,2,0
Mar 24,392,15,212,3,1
Mar 25,419,27,238,4,1
Mar 26,458,39,250,4,0
Mar 27,466,8,235,4,0
Mar 28,476,10,207,4,0
Mar 29,499,23,223,4,0
Mar 30,515,16,216,4,0
Mar 31,567,52,268,4,0
Apr 01,569,2,228,4,0
Apr 02,643,74,258,4,0
Apr 03,672,29,286,4,0
Apr 04,688,16,261,4,0
