Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,3,null,3,0,0
Mar 09,3,0,3,0,0
Mar 10,3,0,3,0,0
Mar 11,3,0,3,0,0
Mar 12,3,0,3,0,0
Mar 13,3,0,2,0,0
Mar 14,5,2,3,0,0
Mar 15,5,0,3,0,0
Mar 16,8,3,5,0,0
Mar 17,10,2,7,0,0
Mar 18,14,4,10,1,0
Mar 19,18,4,14,1,0
Mar 20,20,2,16,1,0
Mar 21,24,4,19,2,1
Mar 22,27,3,22,2,0
Mar 23,33,6,25,3,1
Mar 24,39,6,30,4,1
Mar 25,39,0,27,5,1
Mar 26,44,5,28,5,0
Mar 27,48,4,32,5,0
Mar 28,48,0,28,5,0
Mar 29,48,0,28,5,0
Mar 30,49,1,25,5,0
Mar 31,51,2,21,5,0
Apr 01,54,3,23,6,1
Apr 02,56,2,25,6,0
Apr 03,61,5,29,6,0
