Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,1,null,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,4,3,4,0,0
Mar 04,6,2,6,0,0
Mar 05,6,0,6,0,0
Mar 06,6,0,6,0,0
Mar 07,6,0,6,0,0
Mar 08,6,0,6,0,0
Mar 09,6,0,6,0,0
Mar 10,9,3,6,0,0
Mar 11,9,0,6,0,0
Mar 12,21,12,18,0,0
Mar 13,27,6,24,0,0
Mar 14,27,0,24,0,0
Mar 15,27,0,24,0,0
Mar 16,36,9,33,0,0
Mar 17,36,0,33,0,0
Mar 18,51,15,46,0,0
Mar 19,51,0,46,0,0
Mar 20,69,18,54,0,0
Mar 21,76,7,61,0,0
Mar 22,76,0,61,0,0
Mar 23,81,5,59,0,0
Mar 24,81,0,59,0,0
Mar 25,86,5,57,0,0
Mar 26,86,0,57,0,0
Mar 27,94,8,62,0,0
Mar 28,94,0,62,0,0
Mar 29,94,0,62,0,0
Mar 30,152,58,120,0,0
Mar 31,152,0,104,1,1
Apr 01,163,11,108,2,1
Apr 02,304,141,247,4,2
Apr 03,351,47,294,4,0
