Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,2,null,2,0,0
Mar 11,2,0,2,0,0
Mar 12,3,1,3,0,0
Mar 13,10,7,10,0,0
Mar 14,10,0,10,0,0
Mar 15,10,0,10,0,0
Mar 16,11,1,11,0,0
Mar 17,12,1,12,0,0
Mar 18,12,0,12,0,0
Mar 19,15,3,15,0,0
Mar 20,16,1,16,0,0
Mar 21,19,3,19,0,0
Mar 22,24,5,24,0,0
Mar 23,27,3,27,0,0
Mar 24,29,2,29,0,0
Mar 25,32,3,32,0,0
Mar 26,61,29,61,0,0
Mar 27,61,0,61,0,0
Mar 28,74,13,74,0,0
Mar 29,81,7,80,1,0
Mar 30,97,16,93,4,3
Mar 31,107,10,101,6,2
Apr 01,115,8,107,7,1
Apr 02,123,8,114,8,1
Apr 03,132,9,122,9,1
