Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,1,null,1,0,0
Mar 10,6,5,6,0,0
Mar 11,11,5,11,0,0
Mar 12,25,14,25,0,0
Mar 13,37,12,37,0,0
Mar 14,40,3,40,0,0
Mar 15,50,10,50,0,0
Mar 16,54,4,54,0,0
Mar 17,56,2,56,0,0
Mar 18,68,12,68,0,0
Mar 19,73,5,73,0,0
Mar 20,78,5,77,0,0
Mar 21,83,5,82,0,0
Mar 22,88,5,86,0,0
Mar 23,91,3,89,0,0
Mar 24,104,13,102,0,0
Mar 25,109,5,107,0,0
Mar 26,114,5,109,0,0
Mar 27,115,1,104,0,0
Mar 28,120,5,94,1,0
Mar 29,126,6,91,1,0
Mar 30,127,1,88,1,0
Mar 31,129,2,83,1,0
Apr 01,131,2,78,1,0
Apr 02,133,2,76,1,0
Apr 03,134,1,68,1,0
Apr 04,135,1,68,1,0
