Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,1,null,1,0,0
Mar 10,2,1,2,0,0
Mar 11,2,0,2,0,0
Mar 12,2,0,2,0,0
Mar 13,2,0,2,0,0
Mar 14,2,0,2,0,0
Mar 15,3,1,3,0,0
Mar 16,15,12,15,0,0
Mar 17,15,0,15,0,0
Mar 18,27,12,26,1,0
Mar 19,33,6,32,1,0
Mar 20,40,7,35,1,0
Mar 21,64,24,56,3,2
Mar 22,75,11,66,4,1
Mar 23,99,24,90,4,0
Mar 24,114,15,103,4,0
Mar 25,146,32,132,4,0
Mar 26,152,6,135,7,3
Mar 27,180,28,159,9,2
Mar 28,207,27,175,11,2
Mar 29,222,15,187,12,1
Mar 30,246,24,203,12,0
Mar 31,261,15,215,14,2
Apr 01,282,21,220,16,2
Apr 02,288,6,222,16,0
Apr 03,302,14,236,16,0
