Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,2,null,2,0,0
Mar 07,2,0,2,0,0
Mar 08,2,0,2,0,0
Mar 09,2,0,2,0,0
Mar 10,2,0,2,0,0
Mar 11,2,0,2,0,0
Mar 12,2,0,2,0,0
Mar 13,2,0,2,0,0
Mar 14,3,1,3,0,0
Mar 15,4,1,4,0,0
Mar 16,5,1,5,0,0
Mar 17,10,5,10,0,0
Mar 18,13,3,13,0,0
Mar 19,13,0,13,0,0
Mar 20,27,14,25,0,0
Mar 21,40,13,38,0,0
Mar 22,40,0,38,0,0
Mar 23,56,16,54,0,0
Mar 24,66,10,63,1,0
Mar 25,75,9,72,1,0
Mar 26,75,0,72,1,0
Mar 27,91,16,87,2,1
Mar 28,91,0,87,2,0
Mar 29,139,48,128,6,4
Mar 30,139,0,128,6,0
Mar 31,193,54,182,6,0
Apr 01,233,40,217,6,0
Apr 02,306,73,289,7,1
Apr 03,509,203,484,8,1
