Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,1,null,1,0,0
Mar 10,2,1,2,0,0
Mar 11,2,0,2,0,0
Mar 12,3,1,3,0,0
Mar 13,3,0,3,0,0
Mar 14,3,0,3,0,0
Mar 15,3,0,3,0,0
Mar 16,6,3,6,0,0
Mar 17,6,0,6,0,0
Mar 18,7,1,7,0,0
Mar 19,11,4,11,0,0
Mar 20,12,1,12,0,0
Mar 21,32,20,32,0,0
Mar 22,32,0,32,0,0
Mar 23,36,4,36,0,0
Mar 24,36,0,36,0,0
Mar 25,46,10,46,0,0
Mar 26,66,20,65,1,0
Mar 27,88,22,87,1,0
Mar 28,97,9,96,1,0
Mar 29,108,11,106,2,1
Mar 30,141,33,139,2,0
Mar 31,141,0,138,3,1
Apr 01,172,31,169,3,0
Apr 02,193,21,190,3,0
Apr 03,232,39,215,4,1
