Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,1,null,1,0,0
Mar 04,3,2,3,0,0
Mar 05,4,1,4,0,0
Mar 06,5,1,5,0,0
Mar 07,7,2,7,0,0
Mar 08,10,3,10,0,0
Mar 09,13,3,13,0,0
Mar 10,17,4,17,0,0
Mar 11,23,6,23,0,0
Mar 12,33,10,33,0,0
Mar 13,43,10,43,0,0
Mar 14,61,18,61,0,0
Mar 15,75,14,75,0,0
Mar 16,156,81,156,0,0
Mar 17,201,45,201,0,0
Mar 18,238,37,238,0,0
Mar 19,342,104,342,0,0
Mar 20,434,92,428,0,0
Mar 21,537,103,528,1,0
Mar 22,632,95,623,1,0
Mar 23,746,114,733,2,1
Mar 24,922,176,903,2,0
Mar 25,1142,220,1117,3,1
Mar 26,1306,164,1280,4,1
Mar 27,1610,304,1562,5,1
Mar 28,1909,299,1842,6,1
Mar 29,2139,230,2057,7,1
Mar 30,2449,310,2285,8,1
Mar 31,2738,289,2570,12,4
Apr 01,3031,293,2781,16,4
Apr 02,3404,373,3051,18,2
Apr 03,3737,333,3288,22,4
Apr 04,4161,424,3606,27,5
