Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,56,null,54,1,0
Feb 16,57,1,54,1,0
Feb 17,60,3,57,1,0
Feb 18,62,2,59,1,0
Feb 19,65,3,58,2,1
Feb 20,69,4,61,2,0
Feb 21,69,0,61,2,0
Feb 22,70,1,57,2,0
Feb 23,74,4,60,2,0
Feb 24,81,7,67,2,0
Feb 25,85,4,65,2,0
Feb 26,89,4,69,2,0
Feb 27,92,3,72,2,0
Feb 28,93,1,73,2,0
Feb 29,95,2,63,2,0
Mar 01,100,5,62,2,0
Mar 02,100,0,62,2,0
Mar 03,101,1,62,2,0
Mar 04,103,2,64,2,0
Mar 05,105,2,66,2,0
Mar 06,108,3,55,2,0
Mar 07,108,0,55,2,0
Mar 08,115,7,53,3,1
Mar 09,116,1,54,3,0
Mar 10,121,5,58,3,0
Mar 11,130,9,50,3,0
Mar 12,131,1,51,3,0
Mar 13,132,1,50,4,1
Mar 14,142,10,57,4,0
Mar 15,149,7,64,4,0
Mar 16,155,6,70,4,0
Mar 17,168,13,83,4,0
Mar 18,193,25,94,4,0
Mar 19,208,15,106,4,0
Mar 20,256,48,154,4,0
Mar 21,274,18,170,4,0
Mar 22,318,44,214,4,0
Mar 23,357,39,253,4,0
Mar 24,387,30,281,4,0
Mar 25,411,24,305,4,0
Mar 26,454,43,340,4,0
Mar 27,519,65,404,4,0
Mar 28,560,41,444,4,0
Mar 29,642,82,520,4,0
Mar 30,683,41,561,4,0
Mar 31,715,32,583,4,0
Apr 01,766,51,615,4,0
Apr 02,802,36,644,4,0
Apr 03,845,43,668,4,0
Apr 04,862,17,685,4,0
