Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,1,null,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,3,2,3,0,0
Mar 10,3,0,3,0,0
Mar 11,9,6,9,0,0
Mar 12,9,0,9,0,0
Mar 13,16,7,16,0,0
Mar 14,24,8,24,0,0
Mar 15,34,10,34,0,0
Mar 16,54,20,53,0,0
Mar 17,65,11,64,0,0
Mar 18,93,28,92,0,0
Mar 19,108,15,107,0,0
Mar 20,145,37,144,0,0
Mar 21,196,51,195,0,0
Mar 22,231,35,226,2,0
Mar 23,277,46,271,3,1
Mar 24,378,101,369,3,0
Mar 25,470,92,458,4,1
Mar 26,491,21,477,6,2
Mar 27,539,48,523,6,0
Mar 28,608,69,592,6,0
Mar 29,702,94,682,10,4
Mar 30,798,96,769,14,4
Mar 31,906,108,859,16,2
Apr 01,1065,159,1009,17,1
Apr 02,1161,96,1087,19,2
Apr 03,1267,106,1187,25,6
