Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,1,null,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,9,8,9,0,0
Mar 09,9,0,9,0,0
Mar 10,13,4,13,0,0
Mar 11,22,9,22,0,0
Mar 12,23,1,23,0,0
Mar 13,23,0,23,0,0
Mar 14,27,4,27,0,0
Mar 15,35,8,35,0,0
Mar 16,41,6,41,0,0
Mar 17,50,9,50,0,0
Mar 18,69,19,68,1,0
Mar 19,87,18,86,1,0
Mar 20,113,26,109,2,1
Mar 21,117,4,113,2,0
Mar 22,134,17,130,2,0
Mar 23,158,24,154,2,0
Mar 24,177,19,173,2,0
Mar 25,201,24,197,2,0
Mar 26,231,30,227,2,0
Mar 27,263,32,258,2,0
Mar 28,295,32,290,2,0
Mar 29,314,19,309,2,0
Mar 30,330,16,324,2,0
Mar 31,347,17,341,2,0
Apr 01,375,28,369,2,0
Apr 02,396,21,388,2,0
Apr 03,416,20,403,2,0
Apr 04,435,19,420,2,0
