Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,1,null,1,0,0
Mar 12,1,0,1,0,0
Mar 13,1,0,1,0,0
Mar 14,2,1,2,0,0
Mar 15,4,2,4,0,0
Mar 16,4,0,4,0,0
Mar 17,4,0,4,0,0
Mar 18,9,5,8,0,0
Mar 19,9,0,8,0,0
Mar 20,9,0,8,0,0
Mar 21,14,5,13,0,0
Mar 22,14,0,13,0,0
Mar 23,25,11,23,0,0
Mar 24,73,48,71,0,0
Mar 25,80,7,77,0,0
Mar 26,96,16,93,0,0
Mar 27,101,5,98,0,0
Mar 28,101,0,98,0,0
Mar 29,165,64,160,1,0
Mar 30,168,3,161,1,0
Mar 31,179,11,171,1,0
Apr 01,190,11,180,1,0
Apr 02,194,4,178,1,0
Apr 03,218,24,198,1,0
Apr 04,245,27,219,1,0
