Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,1,null,1,0,0
Feb 26,3,2,3,0,0
Feb 27,3,0,3,0,0
Feb 28,5,2,5,0,0
Feb 29,6,1,6,0,0
Mar 01,7,1,7,0,0
Mar 02,8,1,8,0,0
Mar 03,9,1,9,0,0
Mar 04,10,1,10,0,0
Mar 05,10,0,10,0,0
Mar 06,11,1,11,0,0
Mar 07,12,1,12,0,0
Mar 08,12,0,12,0,0
Mar 09,13,1,13,0,0
Mar 10,15,2,15,0,0
Mar 11,19,4,19,0,0
Mar 12,27,8,26,0,0
Mar 13,32,5,31,0,0
Mar 14,39,7,37,0,0
Mar 15,49,10,47,0,0
Mar 16,57,8,54,0,0
Mar 17,69,12,64,0,0
Mar 18,89,20,84,0,0
Mar 19,110,21,104,1,1
Mar 20,130,20,124,1,0
Mar 21,206,76,200,1,0
Mar 22,254,48,248,1,0
Mar 23,315,61,309,1,0
Mar 24,382,67,376,1,0
Mar 25,442,60,419,1,0
Mar 26,495,53,470,3,2
Mar 27,586,91,546,3,0
Mar 28,657,71,607,5,2
Mar 29,713,56,652,6,1
Mar 30,790,77,717,6,0
Mar 31,867,77,794,6,0
Apr 01,963,96,884,6,0
Apr 02,1011,48,916,7,1
Apr 03,1079,68,979,8,1
