Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,3,null,3,0,0
Mar 12,3,0,3,0,0
Mar 13,4,1,4,0,0
Mar 14,4,0,4,0,0
Mar 15,4,0,4,0,0
Mar 16,4,0,4,0,0
Mar 17,7,3,7,0,0
Mar 18,10,3,9,1,0
Mar 19,11,1,10,1,0
Mar 20,21,10,20,1,0
Mar 21,21,0,20,1,0
Mar 22,35,14,34,1,0
Mar 23,40,5,39,1,0
Mar 24,48,8,46,1,0
Mar 25,57,9,55,1,0
Mar 26,67,10,64,2,1
Mar 27,80,13,74,2,0
Mar 28,119,39,112,3,1
Mar 29,139,20,132,3,0
Mar 30,170,31,162,4,1
Mar 31,186,16,172,6,2
Apr 01,212,26,194,6,0
Apr 02,233,21,214,6,0
Apr 03,269,36,248,6,0
