Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,2,null,2,0,0
Mar 10,2,0,2,0,0
Mar 11,6,4,6,0,0
Mar 12,10,4,10,0,0
Mar 13,14,4,14,0,0
Mar 14,26,12,26,0,0
Mar 15,33,7,33,0,0
Mar 16,46,13,46,0,0
Mar 17,49,3,49,0,0
Mar 18,58,9,58,0,0
Mar 19,67,9,67,0,0
Mar 20,75,8,75,0,0
Mar 21,84,9,80,1,0
Mar 22,95,11,91,1,0
Mar 23,116,21,112,1,0
Mar 24,124,8,118,3,2
Mar 25,132,8,126,3,0
Mar 26,146,14,139,3,0
Mar 27,162,16,142,5,2
Mar 28,179,17,159,5,0
Mar 29,214,35,193,6,1
Mar 30,230,16,201,7,1
Mar 31,262,32,231,8,1
Apr 01,320,58,283,9,1
Apr 02,356,36,318,10,1
Apr 03,396,40,357,11,1
Apr 04,426,30,384,9,-2
