Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,3,null,3,0,0
Mar 02,4,1,4,0,0
Mar 03,5,1,5,0,0
Mar 04,8,3,8,0,0
Mar 05,12,4,12,0,0
Mar 06,19,7,19,0,0
Mar 07,26,7,26,0,0
Mar 08,32,6,32,0,0
Mar 09,38,6,38,0,0
Mar 10,63,25,63,0,0
Mar 11,94,31,94,0,0
Mar 12,116,22,116,0,0
Mar 13,141,25,141,0,0
Mar 14,189,48,189,0,0
Mar 15,293,104,293,0,0
Mar 16,344,51,341,0,0
Mar 17,434,90,431,0,0
Mar 18,522,88,519,0,0
Mar 19,694,172,691,0,0
Mar 20,833,139,829,0,0
Mar 21,995,162,989,0,0
Mar 22,1120,125,1113,1,1
Mar 23,1236,116,1228,1,0
Mar 24,1394,158,1381,3,2
Mar 25,1654,260,1638,6,3
Mar 26,1925,271,1906,9,3
Mar 27,2279,354,2259,9,0
Mar 28,2631,352,2609,11,2
Mar 29,2817,186,2790,16,5
Mar 30,3001,184,2953,23,7
Mar 31,3308,307,3232,31,8
Apr 01,3589,281,3489,39,8
Apr 02,3858,269,3747,44,5
Apr 03,4190,332,4065,53,9
Apr 04,4472,282,4335,59,6
