Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,1,null,1,0,0
Mar 11,1,0,1,0,0
Mar 12,1,0,1,0,0
Mar 13,2,1,2,0,0
Mar 14,2,0,2,0,0
Mar 15,2,0,2,0,0
Mar 16,3,1,3,0,0
Mar 17,3,0,3,0,0
Mar 18,7,4,7,0,0
Mar 19,14,7,14,0,0
Mar 20,18,4,18,0,0
Mar 21,23,5,22,1,0
Mar 22,30,7,29,1,0
Mar 23,36,6,34,2,1
Mar 24,45,9,43,2,0
Mar 25,48,3,46,2,0
Mar 26,51,3,48,3,1
Mar 27,51,0,46,3,0
Mar 28,65,14,57,6,3
Mar 29,81,16,71,8,2
Mar 30,81,0,71,8,0
Mar 31,98,17,88,8,0
Apr 01,109,11,97,9,1
Apr 02,134,25,118,13,4
Apr 03,148,14,129,16,3
