Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,1,null,1,0,0
Feb 28,2,1,2,0,0
Feb 29,3,1,3,0,0
Mar 01,4,1,4,0,0
Mar 02,4,0,4,0,0
Mar 03,10,6,10,0,0
Mar 04,14,4,14,0,0
Mar 05,19,5,18,0,0
Mar 06,21,2,20,0,0
Mar 07,27,6,26,0,0
Mar 08,35,8,34,0,0
Mar 09,90,55,89,0,0
Mar 10,262,172,261,0,0
Mar 11,514,252,513,0,0
Mar 12,674,160,673,0,0
Mar 13,804,130,803,0,0
Mar 14,836,32,834,1,1
Mar 15,864,28,861,2,1
Mar 16,914,50,909,4,2
Mar 17,977,63,972,4,0
Mar 18,1057,80,1052,4,0
Mar 19,1151,94,1144,6,2
Mar 20,1255,104,1245,9,3
Mar 21,1326,71,1312,13,4
Mar 22,1395,69,1381,13,0
Mar 23,1460,65,1435,24,11
Mar 24,1591,131,1558,32,8
Mar 25,1724,133,1689,34,2
Mar 26,1877,153,1835,41,7
Mar 27,2046,169,1993,52,11
Mar 28,2201,155,2135,65,13
Mar 29,2395,194,2322,72,7
Mar 30,2577,182,2499,77,5
Mar 31,2860,283,2769,90,13
