Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,1,null,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,2,1,2,0,0
Mar 07,2,0,2,0,0
Mar 08,5,3,5,0,0
Mar 09,5,0,5,0,0
Mar 10,5,0,5,0,0
Mar 11,5,0,5,0,0
Mar 12,5,0,5,0,0
Mar 13,5,0,5,0,0
Mar 14,11,6,11,0,0
Mar 15,11,0,11,0,0
Mar 16,21,10,20,1,1
Mar 17,21,0,20,1,0
Mar 18,34,13,32,2,1
Mar 19,34,0,32,2,0
Mar 20,72,38,70,2,0
Mar 21,112,40,109,3,1
Mar 22,202,90,199,3,0
Mar 23,245,43,239,3,0
Mar 24,312,67,303,6,3
Mar 25,392,80,379,10,4
Mar 26,488,96,475,10,0
Mar 27,581,93,558,20,10
Mar 28,719,138,688,28,8
Mar 29,859,140,817,39,11
Mar 30,901,42,855,42,3
Mar 31,1109,208,1053,51,9
Apr 01,1284,175,1218,57,6
Apr 02,1380,96,1304,60,3
Apr 03,1488,108,1404,68,8
Apr 04,1578,90,1484,77,9
