Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,1,null,1,0,0
Mar 01,6,5,6,0,0
Mar 02,6,0,6,0,0
Mar 03,7,1,7,0,0
Mar 04,10,3,10,0,0
Mar 05,13,3,13,0,0
Mar 06,13,0,13,0,0
Mar 07,14,1,14,0,0
Mar 08,14,0,14,0,0
Mar 09,15,1,15,0,0
Mar 10,17,2,17,0,0
Mar 11,17,0,17,0,0
Mar 12,17,0,17,0,0
Mar 13,23,6,22,1,1
Mar 14,28,5,26,2,1
Mar 15,37,9,35,2,0
Mar 16,58,21,56,2,0
Mar 17,111,53,109,2,0
Mar 18,168,57,164,3,1
Mar 19,260,92,256,3,0
Mar 20,426,166,416,7,4
Mar 21,532,106,522,7,0
Mar 22,789,257,772,14,7
Mar 23,981,192,960,18,4
Mar 24,1082,101,1052,27,9
Mar 25,1211,129,1179,29,2
Mar 26,1403,192,1366,34,5
Mar 27,1627,224,1583,41,7
Mar 28,1823,196,1772,48,7
Mar 29,1924,101,1863,58,10
Mar 30,1966,42,1901,62,4
Mar 31,2302,336,2165,79,17
Apr 01,2758,456,2602,98,19
Apr 02,3163,405,2978,120,22
Apr 03,3368,205,3158,145,25
