Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,1,null,1,0,0
Feb 16,1,0,1,0,0
Feb 17,1,0,1,0,0
Feb 18,1,0,1,0,0
Feb 19,1,0,1,0,0
Feb 20,1,0,0,0,0
Feb 21,1,0,0,0,0
Feb 22,1,0,0,0,0
Feb 23,1,0,0,0,0
Feb 24,1,0,0,0,0
Feb 25,1,0,0,0,0
Feb 26,1,0,0,0,0
Feb 27,1,0,0,0,0
Feb 28,1,0,0,0,0
Feb 29,1,0,0,0,0
Mar 01,2,1,1,0,0
Mar 02,2,0,1,0,0
Mar 03,2,0,1,0,0
Mar 04,2,0,1,0,0
Mar 05,3,1,2,0,0
Mar 06,15,12,14,0,0
Mar 07,48,33,47,0,0
Mar 08,55,7,53,1,1
Mar 09,59,4,57,1,0
Mar 10,59,0,32,1,0
Mar 11,67,8,39,1,0
Mar 12,80,13,51,2,1
Mar 13,93,13,64,2,0
Mar 14,110,17,81,2,0
Mar 15,126,16,92,2,0
Mar 16,166,40,130,4,2
Mar 17,196,30,164,6,2
Mar 18,210,14,176,6,0
Mar 19,256,46,207,7,1
Mar 20,285,29,235,8,1
Mar 21,294,9,242,10,2
Mar 22,327,33,257,14,4
Mar 23,366,39,279,19,5
Mar 24,402,36,302,20,1
Mar 25,456,54,340,21,1
Mar 26,495,39,369,24,3
Mar 27,536,41,390,30,6
Mar 28,576,40,419,36,6
Mar 29,609,33,437,40,4
Mar 30,656,47,465,41,1
Mar 31,710,54,507,46,5
Apr 01,779,69,548,52,6
Apr 02,865,86,606,58,6
Apr 03,985,120,703,66,8
