Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,0,null,0,0,0
Mar 14,0,null,0,0,0
Mar 15,0,null,0,0,0
Mar 16,0,null,0,0,0
Mar 17,0,null,0,0,0
Mar 18,0,null,0,0,0
Mar 19,1,null,1,0,0
Mar 20,1,0,1,0,0
Mar 21,3,2,3,0,0
Mar 22,3,0,3,0,0
Mar 23,3,0,3,0,0
Mar 24,5,2,5,0,0
Mar 25,9,4,9,0,0
Mar 26,13,4,13,0,0
Mar 27,13,0,13,0,0
Mar 28,19,6,19,0,0
Mar 29,24,5,24,0,0
Mar 30,30,6,30,0,0
Mar 31,32,2,31,1,0
Apr 01,33,1,31,2,1
Apr 02,41,8,39,2,0
Apr 03,46,5,43,3,1
Apr 04,56,10,51,3,0
