Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,1,null,1,0,0
Feb 28,1,0,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,2,1,2,0,0
Mar 04,2,0,2,0,0
Mar 05,5,3,5,0,0
Mar 06,10,5,10,0,0
Mar 07,10,0,10,0,0
Mar 08,10,0,10,0,0
Mar 09,10,0,10,0,0
Mar 10,13,3,13,0,0
Mar 11,16,3,16,0,0
Mar 12,27,11,27,0,0
Mar 13,79,52,79,0,0
Mar 14,115,36,115,0,0
Mar 15,171,56,170,0,0
Mar 16,205,34,204,0,0
Mar 17,225,20,224,0,0
Mar 18,258,33,257,0,0
Mar 19,267,9,266,0,0
Mar 20,283,16,282,0,0
Mar 21,306,23,304,0,0
Mar 22,326,20,322,0,0
Mar 23,352,26,348,0,0
Mar 24,369,17,362,0,0
Mar 25,404,35,395,1,1
Mar 26,538,134,529,1,0
Mar 27,575,37,563,1,0
Mar 28,645,70,624,1,0
Mar 29,679,34,656,3,2
Mar 30,715,36,692,3,0
Mar 31,745,30,715,4,1
Apr 01,779,34,741,5,1
Apr 02,858,79,802,11,6
Apr 03,961,103,901,12,1
