Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,1,null,1,0,0
Mar 14,1,0,1,0,0
Mar 15,4,3,4,0,0
Mar 16,5,1,5,0,0
Mar 17,6,1,6,0,0
Mar 18,6,0,6,0,0
Mar 19,7,1,7,0,0
Mar 20,9,2,9,0,0
Mar 21,9,0,9,0,0
Mar 22,11,2,11,0,0
Mar 23,11,0,11,0,0
Mar 24,12,1,12,0,0
Mar 25,12,0,12,0,0
Mar 26,12,0,12,0,0
Mar 27,16,4,16,0,0
Mar 28,16,0,15,0,0
Mar 29,21,5,20,0,0
Mar 30,23,2,19,0,0
Mar 31,26,3,24,0,0
Apr 01,29,3,27,0,0
Apr 02,29,0,26,0,0
Apr 03,35,6,32,0,0
Apr 04,38,3,34,0,0
