Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,1,null,1,0,0
Mar 14,1,0,1,0,0
Mar 15,1,0,1,0,0
Mar 16,1,0,1,0,0
Mar 17,3,2,3,0,0
Mar 18,3,0,3,0,0
Mar 19,3,0,3,0,0
Mar 20,4,1,3,1,0
Mar 21,5,1,4,1,0
Mar 22,5,0,4,1,0
Mar 23,6,1,5,1,0
Mar 24,6,0,5,1,0
Mar 25,6,0,5,1,0
Mar 26,7,1,6,1,0
Mar 27,7,0,6,1,0
Mar 28,7,0,6,1,0
Mar 29,7,0,6,1,0
Mar 30,7,0,6,1,0
Mar 31,16,9,15,1,0
Apr 01,18,2,17,1,0
Apr 02,21,3,20,1,0
Apr 03,21,0,19,1,0
Apr 04,21,0,19,1,0
