Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,1,null,1,0,0
Feb 27,1,0,1,0,0
Feb 28,2,1,2,0,0
Feb 29,3,1,3,0,0
Mar 01,3,0,3,0,0
Mar 02,3,0,3,0,0
Mar 03,3,0,3,0,0
Mar 04,3,0,3,0,0
Mar 05,9,6,9,0,0
Mar 06,9,0,9,0,0
Mar 07,13,4,13,0,0
Mar 08,13,0,13,0,0
Mar 09,15,2,15,0,0
Mar 10,23,8,23,0,0
Mar 11,24,1,24,0,0
Mar 12,25,1,25,0,0
Mar 13,25,0,25,0,0
Mar 14,30,5,30,0,0
Mar 15,33,3,32,0,0
Mar 16,33,0,32,0,0
Mar 17,34,1,33,0,0
Mar 18,38,4,37,0,0
Mar 19,40,2,39,0,0
Mar 20,44,4,43,0,0
Mar 21,49,5,48,0,0
Mar 22,54,5,53,0,0
Mar 23,61,7,53,0,0
Mar 24,70,9,61,0,0
Mar 25,75,5,65,0,0
Mar 26,79,4,68,0,0
Mar 27,83,4,69,0,0
Mar 28,90,7,76,0,0
Mar 29,91,1,73,0,0
Mar 30,103,12,83,0,0
Mar 31,110,7,89,0,0
Apr 01,117,7,94,0,0
Apr 02,134,17,108,0,0
Apr 03,155,21,127,0,0
Apr 04,162,7,125,1,1
