Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,2,null,2,0,0
Mar 13,2,0,2,0,0
Mar 14,2,0,2,0,0
Mar 15,6,4,6,0,0
Mar 16,6,0,6,0,0
Mar 17,7,1,7,0,0
Mar 18,7,0,7,0,0
Mar 19,11,4,11,0,0
Mar 20,16,5,16,0,0
Mar 21,21,5,20,1,0
Mar 22,23,2,22,1,0
Mar 23,27,4,25,2,1
Mar 24,53,26,51,2,0
Mar 25,68,15,64,4,2
Mar 26,132,64,127,4,0
Mar 27,137,5,131,4,0
Mar 28,141,4,134,5,1
Mar 29,152,11,145,5,0
Mar 30,152,0,145,5,0
Mar 31,161,9,125,5,0
Apr 01,195,34,159,5,0
Apr 02,204,9,168,5,0
Apr 03,205,1,169,5,0
