Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,1,null,1,0,0
Feb 27,3,2,3,0,0
Feb 28,4,1,4,0,0
Feb 29,7,3,7,0,0
Mar 01,7,0,7,0,0
Mar 02,7,0,7,0,0
Mar 03,7,0,7,0,0
Mar 04,9,2,9,0,0
Mar 05,31,22,31,0,0
Mar 06,45,14,45,0,0
Mar 07,66,21,66,0,0
Mar 08,73,7,73,0,0
Mar 09,84,11,84,0,0
Mar 10,89,5,89,0,0
Mar 11,99,10,99,0,0
Mar 12,117,18,116,1,1
Mar 13,190,73,187,1,0
Mar 14,228,38,217,3,2
Mar 15,331,103,319,4,1
Mar 16,352,21,340,4,0
Mar 17,387,35,368,5,1
Mar 18,418,31,399,5,0
Mar 19,464,46,439,6,1
Mar 20,495,31,466,10,4
Mar 21,530,35,498,13,3
Mar 22,624,94,590,15,2
Mar 23,695,71,649,17,2
Mar 24,743,48,694,20,3
Mar 25,821,78,763,22,2
Mar 26,892,71,829,27,5
Mar 27,966,74,886,28,1
Mar 28,1061,95,977,32,4
Mar 29,1156,95,1065,39,7
Mar 30,1212,56,1114,46,7
Mar 31,1314,102,1213,49,3
