Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,1,null,1,0,0
Mar 14,1,0,1,0,0
Mar 15,1,0,0,1,0
Mar 16,8,7,7,1,0
Mar 17,8,0,7,1,0
Mar 18,8,0,7,1,0
Mar 19,9,1,8,1,0
Mar 20,12,3,11,1,0
Mar 21,17,5,16,1,0
Mar 22,19,2,18,1,0
Mar 23,20,1,19,1,0
Mar 24,21,1,20,1,0
Mar 25,24,3,19,1,0
Mar 26,25,1,20,1,0
Mar 27,28,3,23,1,0
Mar 28,34,6,23,1,0
Mar 29,34,0,23,1,0
Mar 30,36,2,25,1,0
Mar 31,38,2,25,1,0
Apr 01,39,1,26,1,0
Apr 02,47,8,34,1,0
Apr 03,50,3,37,1,0
Apr 04,61,11,44,2,1
