Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,0,0,0,0
Mar 06,0,0,0,0,0
Mar 07,0,0,0,0,0
Mar 08,0,0,0,0,0
Mar 09,0,0,0,0,0
Mar 10,0,0,0,0,0
Mar 11,0,0,0,0,0
Mar 12,1,1,0,1,0
Mar 13,1,0,0,1,0
Mar 14,1,0,0,1,0
Mar 15,4,3,3,1,0
Mar 16,7,3,6,1,0
Mar 17,7,0,6,1,0
Mar 18,4,-3,3,1,0
Mar 19,5,1,4,1,0
Mar 20,15,10,14,1,0
Mar 21,18,3,17,1,0
Mar 22,19,1,18,1,0
Mar 23,20,1,19,1,0
Mar 24,5,-15,4,1,0
Mar 25,5,0,4,1,0
Mar 26,5,0,4,1,0
Mar 27,5,0,4,1,0
Mar 28,8,3,7,1,0
Mar 29,8,0,7,1,0
Mar 30,8,0,7,1,0
Mar 31,12,4,10,2,1
Apr 01,19,7,16,3,1
Apr 02,19,0,15,4,1
Apr 03,23,4,19,4,0
