Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,2,null,2,0,0
Mar 05,4,2,4,0,0
Mar 06,4,0,4,0,0
Mar 07,5,1,5,0,0
Mar 08,7,2,7,0,0
Mar 09,9,2,9,0,0
Mar 10,12,3,12,0,0
Mar 11,13,1,13,0,0
Mar 12,16,3,16,0,0
Mar 13,19,3,18,0,0
Mar 14,30,11,29,0,0
Mar 15,32,2,30,1,0
Mar 16,39,7,36,1,0
Mar 17,50,11,47,1,0
Mar 18,58,8,55,1,0
Mar 19,73,15,70,1,0
Mar 20,85,12,74,4,3
Mar 21,103,18,92,4,0
Mar 22,131,28,109,6,2
Mar 23,167,36,138,8,2
Mar 24,187,20,157,9,1
Mar 25,226,39,195,10,1
Mar 26,261,35,223,10,0
Mar 27,300,39,256,10,0
Mar 28,343,43,298,11,1
Mar 29,408,65,361,13,2
Mar 30,447,39,398,15,2
Mar 31,492,45,439,16,1
Apr 01,525,33,465,20,4
Apr 02,585,60,522,21,1
Apr 03,623,38,554,26,5
