Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,3,null,0,0,0
Feb 16,3,0,0,0,0
Feb 17,3,0,0,0,0
Feb 18,3,0,0,0,0
Feb 19,3,0,0,0,0
Feb 20,3,0,0,0,0
Feb 21,3,0,0,0,0
Feb 22,3,0,0,0,0
Feb 23,3,0,0,0,0
Feb 24,3,0,0,0,0
Feb 25,3,0,0,0,0
Feb 26,3,0,0,0,0
Feb 27,3,0,0,0,0
Feb 28,3,0,0,0,0
Feb 29,3,0,0,0,0
Mar 01,3,0,0,0,0
Mar 02,6,3,3,0,0
Mar 03,7,1,4,0,0
Mar 04,29,22,26,0,0
Mar 05,30,1,27,0,0
Mar 06,31,1,28,0,0
Mar 07,34,3,31,0,0
Mar 08,40,6,37,0,0
Mar 09,47,7,43,0,0
Mar 10,62,15,58,0,0
Mar 11,62,0,58,0,0
Mar 12,74,12,69,1,1
Mar 13,82,8,70,2,1
Mar 14,100,18,88,2,0
Mar 15,114,14,99,2,0
Mar 16,129,15,114,2,0
Mar 17,143,14,126,3,1
Mar 18,169,26,152,3,0
Mar 19,194,25,170,4,1
Mar 20,249,55,221,5,1
Mar 21,332,83,304,5,0
Mar 22,396,64,365,7,2
Mar 23,499,103,455,10,3
Mar 24,536,37,486,10,0
Mar 25,657,121,602,12,2
Mar 26,727,70,662,20,8
