Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,2,null,2,0,0
Mar 03,2,0,2,0,0
Mar 04,2,0,2,0,0
Mar 05,2,0,2,0,0
Mar 06,4,2,4,0,0
Mar 07,4,0,4,0,0
Mar 08,6,2,6,0,0
Mar 09,19,13,19,0,0
Mar 10,27,8,25,0,0
Mar 11,34,7,31,1,1
Mar 12,34,0,30,1,0
Mar 13,69,35,60,4,3
Mar 14,96,27,83,5,1
Mar 15,117,21,104,5,0
Mar 16,134,17,121,5,0
Mar 17,172,38,156,7,2
Mar 18,227,55,197,19,12
Mar 19,309,82,269,25,6
Mar 20,369,60,320,32,7
Mar 21,450,81,392,38,6
Mar 22,514,64,437,48,10
Mar 23,579,65,500,49,1
Mar 24,686,107,601,55,6
Mar 25,790,104,701,58,3
Mar 26,893,103,780,78,20
Mar 27,1046,153,913,87,9
Mar 28,1155,109,994,102,15
Mar 29,1285,130,1107,114,12
Mar 30,1414,129,1217,122,8
Mar 31,1528,114,1311,136,14
