Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,1,null,1,0,0
Feb 23,1,0,1,0,0
Feb 24,1,0,1,0,0
Feb 25,5,4,5,0,0
Feb 26,5,0,5,0,0
Feb 27,7,2,7,0,0
Feb 28,8,1,8,0,0
Feb 29,13,5,13,0,0
Mar 01,19,6,19,0,0
Mar 02,27,8,27,0,0
Mar 03,32,5,32,0,0
Mar 04,37,5,35,2,2
Mar 05,40,3,37,3,1
Mar 06,46,6,41,4,1
Mar 07,54,8,49,4,0
Mar 08,65,11,58,6,2
Mar 09,71,6,61,7,1
Mar 10,71,0,49,7,0
Mar 11,71,0,49,7,0
Mar 12,83,12,51,8,1
Mar 13,101,18,68,9,1
Mar 14,110,9,74,10,1
Mar 15,124,14,88,10,0
Mar 16,133,9,91,10,0
Mar 17,154,21,102,11,1
Mar 18,164,10,111,12,1
Mar 19,192,28,130,13,1
Mar 20,208,16,142,17,4
Mar 21,214,6,146,17,0
Mar 22,233,19,156,20,3
Mar 23,266,33,181,23,3
Mar 24,316,50,214,27,4
Mar 25,346,30,214,29,2
Mar 26,382,36,241,36,7
Mar 27,458,76,296,40,4
Mar 28,506,48,333,42,2
Mar 29,547,41,362,42,0
Mar 30,630,83,432,46,4
Mar 31,694,64,474,50,4
