Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,1,null,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,2,1,2,0,0
Mar 04,6,4,6,0,0
Mar 05,13,7,13,0,0
Mar 06,18,5,18,0,0
Mar 07,19,1,19,0,0
Mar 08,21,2,21,0,0
Mar 09,24,3,24,0,0
Mar 10,34,10,34,0,0
Mar 11,43,9,42,1,1
Mar 12,70,27,69,1,0
Mar 13,90,20,89,1,0
Mar 14,129,39,127,2,1
Mar 15,170,41,167,2,0
Mar 16,223,53,216,2,0
Mar 17,292,69,285,2,0
Mar 18,366,74,359,2,0
Mar 19,557,191,549,3,1
Mar 20,683,126,675,3,0
Mar 21,785,102,777,3,0
Mar 22,906,121,897,4,1
Mar 23,1125,219,1114,6,2
Mar 24,1329,204,1317,7,1
Mar 25,1564,235,1550,9,2
Mar 26,1819,255,1795,19,10
Mar 27,2121,302,2094,22,3
