Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,1,null,1,0,0
Feb 22,1,0,1,0,0
Feb 23,2,1,2,0,0
Feb 24,2,0,2,0,0
Feb 25,2,0,2,0,0
Feb 26,2,0,2,0,0
Feb 27,3,1,3,0,0
Feb 28,7,4,6,0,0
Feb 29,7,0,6,0,0
Mar 01,10,3,9,0,0
Mar 02,12,2,11,0,0
Mar 03,12,0,11,0,0
Mar 04,15,3,14,0,0
Mar 05,17,2,15,0,0
Mar 06,21,4,19,0,0
Mar 07,25,4,22,0,0
Mar 08,39,14,36,0,0
Mar 09,50,11,46,0,0
Mar 10,75,25,71,0,0
Mar 11,97,22,93,0,0
Mar 12,109,12,105,0,0
Mar 13,143,34,139,0,0
Mar 14,193,50,189,0,0
Mar 15,213,20,209,0,0
Mar 16,298,85,294,0,0
Mar 17,337,39,326,0,0
Mar 18,433,96,422,0,0
Mar 19,677,244,663,0,0
Mar 20,705,28,689,1,1
Mar 21,883,178,846,1,0
Mar 22,1071,188,1033,1,0
Mar 23,1442,371,1400,1,0
Mar 24,1930,488,1874,3,2
Mar 25,2369,439,2306,5,2
Mar 26,2693,324,2617,8,3
Mar 27,3035,342,2944,12,4
Mar 28,3619,584,3518,12,0
Mar 29,4247,628,4100,15,3
Mar 30,4695,448,4518,16,1
Mar 31,5358,663,5114,20,4
Apr 01,6092,734,5825,26,6
