Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,1,null,1,0,0
Mar 11,2,1,2,0,0
Mar 12,2,0,2,0,0
Mar 13,8,6,8,0,0
Mar 14,8,0,8,0,0
Mar 15,10,2,8,0,0
Mar 16,12,2,10,0,0
Mar 17,13,1,11,0,0
Mar 18,15,2,12,1,0
Mar 19,15,0,12,1,0
Mar 20,19,4,16,1,0
Mar 21,19,0,16,1,0
Mar 22,19,0,16,1,0
Mar 23,19,0,16,1,0
Mar 24,21,2,18,1,0
Mar 25,26,5,23,1,0
Mar 26,26,0,23,1,0
Mar 27,26,0,23,1,0
Mar 28,30,4,27,1,0
Mar 29,32,2,29,1,0
Mar 30,36,4,33,1,0
Mar 31,38,2,34,2,1
Apr 01,44,6,39,3,1
Apr 02,47,3,42,3,0
Apr 03,53,6,43,3,0
Apr 04,53,0,43,3,0
