Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,53,null,52,1,0
Feb 16,59,6,58,1,0
Feb 17,66,7,47,1,0
Feb 18,74,8,53,1,0
Feb 19,84,10,63,1,0
Feb 20,94,10,73,1,0
Feb 21,109,15,86,1,0
Feb 22,134,25,111,1,0
Feb 23,146,12,122,1,0
Feb 24,159,13,135,1,0
Feb 25,161,2,137,1,0
Feb 26,172,11,146,3,2
Feb 27,214,42,178,4,1
Feb 28,233,19,196,5,1
Feb 29,241,8,204,5,0
Mar 01,256,15,208,6,1
Mar 02,274,18,226,6,0
Mar 03,293,19,244,6,0
Mar 04,331,38,282,6,0
Mar 05,364,33,315,6,0
Mar 06,420,56,365,6,0
Mar 07,461,41,379,6,0
Mar 08,502,41,419,7,1
Mar 09,530,28,437,9,2
Mar 10,587,57,473,12,3
Mar 11,639,52,506,15,3
Mar 12,691,52,554,19,4
Mar 13,734,43,595,21,2
Mar 14,804,70,638,22,1
Mar 15,833,29,665,24,2
Mar 16,850,17,678,28,4
Mar 17,878,28,705,29,1
Mar 18,914,36,694,29,0
Mar 19,943,29,719,33,4
Mar 20,1007,64,757,35,2
Mar 21,1054,47,803,36,1
Mar 22,1101,47,825,41,5
Mar 23,1128,27,851,42,1
Mar 24,1193,65,865,43,1
Mar 25,1307,114,952,45,2
Mar 26,1387,80,981,47,2
Mar 27,1499,112,1078,49,2
Mar 28,1693,194,1237,52,3
Mar 29,1866,173,1388,54,2
Mar 30,1953,87,1473,56,2
Mar 31,2178,225,1697,57,1
Apr 01,2384,206,1855,57,0
Apr 02,2617,233,2082,63,6
Apr 03,2935,318,2352,69,6
