Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,1,null,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,1,0,1,0,0
Mar 11,1,0,1,0,0
Mar 12,1,0,1,0,0
Mar 13,1,0,0,0,0
Mar 14,1,0,0,0,0
Mar 15,12,11,11,0,0
Mar 16,29,17,28,0,0
Mar 17,48,19,47,0,0
Mar 18,56,8,55,0,0
Mar 19,69,13,68,0,0
Mar 20,84,15,83,0,0
Mar 21,100,16,99,0,0
Mar 22,112,12,111,0,0
Mar 23,127,15,126,0,0
Mar 24,154,27,153,0,0
Mar 25,172,18,171,0,0
Mar 26,212,40,211,0,0
Mar 27,235,23,216,1,1
Mar 28,246,11,227,1,0
Mar 29,259,13,238,3,2
Mar 30,268,9,237,5,2
Mar 31,274,6,239,5,0
Apr 01,278,4,237,5,0
Apr 02,299,21,249,5,0
Apr 03,310,11,247,5,0
Apr 04,323,13,244,5,0
