Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,4,null,4,0,0
Mar 14,6,2,6,0,0
Mar 15,9,3,9,0,0
Mar 16,10,1,10,0,0
Mar 17,33,23,33,0,0
Mar 18,36,3,36,0,0
Mar 19,44,8,44,0,0
Mar 20,52,8,52,0,0
Mar 21,54,2,54,0,0
Mar 22,60,6,60,0,0
Mar 23,62,2,62,0,0
Mar 24,72,10,72,0,0
Mar 25,81,9,81,0,0
Mar 26,113,32,110,1,1
Mar 27,150,37,146,1,0
Mar 28,228,78,211,1,0
Mar 29,284,56,263,1,0
Mar 30,302,18,280,1,0
Mar 31,343,41,317,2,1
Apr 01,380,37,351,3,1
Apr 02,435,55,405,3,0
Apr 03,464,29,432,3,0
Apr 04,531,67,490,5,2
