Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,5,null,5,0,0
Feb 25,11,6,11,0,0
Feb 26,26,15,26,0,0
Feb 27,43,17,43,0,0
Feb 28,45,2,45,0,0
Feb 29,45,0,45,0,0
Mar 01,46,1,46,0,0
Mar 02,56,10,56,0,0
Mar 03,56,0,56,0,0
Mar 04,56,0,56,0,0
Mar 05,58,2,58,0,0
Mar 06,58,0,57,0,0
Mar 07,61,3,60,0,0
Mar 08,64,3,63,0,0
Mar 09,65,1,64,0,0
Mar 10,69,4,68,0,0
Mar 11,72,3,69,0,0
Mar 12,80,8,75,0,0
Mar 13,100,20,95,0,0
Mar 14,104,4,97,0,0
Mar 15,112,8,103,0,0
Mar 16,123,11,114,0,0
Mar 17,130,7,118,0,0
Mar 18,142,12,127,0,0
Mar 19,148,6,130,0,0
Mar 20,159,11,137,0,0
Mar 21,176,17,149,0,0
Mar 22,188,12,158,0,0
Mar 23,189,1,159,0,0
Mar 24,191,2,152,0,0
Mar 25,195,4,152,0,0
Mar 26,208,13,159,0,0
Mar 27,225,17,168,0,0
Mar 28,235,10,171,0,0
Mar 29,255,20,188,0,0
Mar 30,266,11,194,0,0
Mar 31,289,23,216,0,0
Apr 01,317,28,237,0,0
Apr 02,342,25,261,0,0
Apr 03,417,75,335,0,0
