Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,0,null,0,0,0
Mar 14,0,null,0,0,0
Mar 15,0,null,0,0,0
Mar 16,0,null,0,0,0
Mar 17,0,null,0,0,0
Mar 18,3,null,3,0,0
Mar 19,3,0,3,0,0
Mar 20,6,3,6,0,0
Mar 21,14,8,14,0,0
Mar 22,14,0,14,0,0
Mar 23,16,2,16,0,0
Mar 24,42,26,42,0,0
Mar 25,44,2,44,0,0
Mar 26,44,0,44,0,0
Mar 27,58,14,58,0,0
Mar 28,58,0,58,0,0
Mar 29,84,26,84,0,0
Mar 30,94,10,91,0,0
Mar 31,107,13,104,0,0
Apr 01,111,4,108,0,0
Apr 02,116,5,111,0,0
Apr 03,130,14,123,1,0
Apr 04,144,14,134,1,0
