Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,1,null,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,0,0,0
Mar 06,1,0,0,0,0
Mar 07,1,0,0,0,0
Mar 08,3,2,2,0,0
Mar 09,6,3,5,0,0
Mar 10,8,2,7,0,0
Mar 11,10,2,9,0,0
Mar 12,16,6,15,0,0
Mar 13,17,1,16,0,0
Mar 14,26,9,25,0,0
Mar 15,30,4,29,0,0
Mar 16,34,4,33,0,0
Mar 17,60,26,59,0,0
Mar 18,71,11,70,0,0
Mar 19,86,15,85,0,0
Mar 20,111,25,110,0,0
Mar 21,124,13,123,0,0
Mar 22,139,15,138,0,0
Mar 23,180,41,179,0,0
Mar 24,197,17,196,0,0
Mar 25,221,24,220,0,0
Mar 26,244,23,243,0,0
Mar 27,280,36,279,0,0
Mar 28,305,25,304,0,0
Mar 29,347,42,346,0,0
Mar 30,376,29,375,0,0
Mar 31,398,22,397,0,0
Apr 01,446,48,445,0,0
Apr 02,458,12,427,0,0
Apr 03,493,35,491,1,1
Apr 04,509,16,507,1,0
