Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,1,null,1,0,0
Feb 22,1,0,1,0,0
Feb 23,1,0,1,0,0
Feb 24,1,0,1,0,0
Feb 25,1,0,1,0,0
Feb 26,2,1,2,0,0
Feb 27,3,1,3,0,0
Feb 28,4,1,4,0,0
Feb 29,7,3,7,0,0
Mar 01,10,3,10,0,0
Mar 02,13,3,13,0,0
Mar 03,13,0,13,0,0
Mar 04,15,2,15,0,0
Mar 05,16,1,16,0,0
Mar 06,22,6,21,0,0
Mar 07,28,6,27,0,0
Mar 08,32,4,31,0,0
Mar 09,41,9,40,0,0
Mar 10,52,11,50,1,1
Mar 11,68,16,65,2,1
Mar 12,68,0,64,3,1
Mar 13,77,9,73,3,0
Mar 14,93,16,89,3,0
Mar 15,110,17,106,3,0
Mar 16,109,-1,103,3,0
Mar 17,124,15,116,4,1
Mar 18,133,9,125,4,0
Mar 19,157,24,149,4,0
Mar 20,177,20,169,4,0
Mar 21,230,53,218,4,0
Mar 22,248,18,236,4,0
Mar 23,267,19,255,4,0
Mar 24,318,51,306,4,0
Mar 25,333,15,307,6,2
Mar 26,368,35,339,6,0
Mar 27,391,23,356,8,2
Mar 28,412,21,374,8,0
Mar 29,438,26,398,10,2
Mar 30,446,8,400,11,1
Mar 31,463,17,414,12,1
Apr 01,479,16,422,14,2
Apr 02,494,15,432,16,2
Apr 03,508,14,441,17,1
Apr 04,520,12,449,17,0
