Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,1,null,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,1,0,1,0,0
Mar 11,3,2,3,0,0
Mar 12,4,1,4,0,0
Mar 13,4,0,4,0,0
Mar 14,4,0,4,0,0
Mar 15,7,3,7,0,0
Mar 16,7,0,7,0,0
Mar 17,19,12,19,0,0
Mar 18,28,9,28,0,0
Mar 19,28,0,28,0,0
Mar 20,28,0,28,0,0
Mar 21,37,9,37,0,0
Mar 22,37,0,37,0,0
Mar 23,51,14,51,0,0
Mar 24,51,0,51,0,0
Mar 25,51,0,51,0,0
Mar 26,56,5,56,0,0
Mar 27,56,0,56,0,0
Mar 28,56,0,56,0,0
Mar 29,56,0,56,0,0
Mar 30,62,6,62,0,0
Mar 31,68,6,68,0,0
Apr 01,72,4,72,0,0
Apr 02,75,3,75,0,0
Apr 03,75,0,75,0,0
Apr 04,77,2,76,1,0
