Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,1,1,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,3,2,3,0,0
Mar 11,3,0,3,0,0
Mar 12,3,0,3,0,0
Mar 13,6,3,6,0,0
Mar 14,9,3,8,0,0
Mar 15,14,5,13,0,0
Mar 16,18,4,17,0,0
Mar 17,26,8,25,0,0
Mar 18,34,8,33,0,0
Mar 19,48,14,47,0,0
Mar 20,69,21,67,1,1
Mar 21,99,30,97,1,0
Mar 22,143,44,141,1,0
Mar 23,179,36,177,1,0
Mar 24,209,30,206,2,1
Mar 25,274,65,269,4,2
Mar 26,299,25,294,4,0
Mar 27,358,59,352,5,1
Mar 28,394,36,386,7,2
Mar 29,460,66,452,7,0
Mar 30,491,31,477,7,0
Mar 31,537,46,522,8,1
Apr 01,581,44,566,8,0
Apr 02,649,68,633,9,1
Apr 03,696,47,680,9,0
