Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,1,null,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,2,1,2,0,0
Mar 06,3,1,3,0,0
Mar 07,4,1,4,0,0
Mar 08,5,1,5,0,0
Mar 09,5,0,5,0,0
Mar 10,7,2,7,0,0
Mar 11,7,0,7,0,0
Mar 12,26,19,26,0,0
Mar 13,38,12,37,1,1
Mar 14,51,13,50,1,0
Mar 15,77,26,76,1,0
Mar 16,81,4,80,1,0
Mar 17,140,59,139,1,0
Mar 18,203,63,201,2,1
Mar 19,335,132,325,4,2
Mar 20,484,149,473,5,1
Mar 21,670,186,656,8,3
Mar 22,798,128,784,8,0
Mar 23,875,77,861,8,0
Mar 24,1099,224,1085,8,0
Mar 25,1333,234,1319,8,0
Mar 26,1453,120,1438,9,1
Mar 27,1605,152,1550,15,6
Mar 28,1831,226,1773,18,3
Mar 29,1950,119,1889,21,3
Mar 30,1988,38,1926,22,1
Mar 31,2178,190,2075,23,1
Apr 01,2319,141,2210,29,6
Apr 02,2487,168,2377,30,1
Apr 03,2612,125,2081,31,1
