Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,1,null,1,0,0
Feb 27,1,0,1,0,0
Feb 28,1,0,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,3,2,3,0,0
Mar 07,3,0,3,0,0
Mar 08,3,0,3,0,0
Mar 09,5,2,5,0,0
Mar 10,7,2,7,0,0
Mar 11,9,2,8,0,0
Mar 12,9,0,8,0,0
Mar 13,14,5,13,0,0
Mar 14,19,5,18,0,0
Mar 15,19,0,18,0,0
Mar 16,24,5,23,0,0
Mar 17,31,7,30,0,0
Mar 18,43,12,42,0,0
Mar 19,50,7,49,0,0
Mar 20,76,26,75,0,0
Mar 21,85,9,84,0,0
Mar 22,115,30,113,1,1
Mar 23,136,21,133,2,1
Mar 24,148,12,145,2,0
Mar 25,177,29,173,3,1
Mar 26,201,24,195,3,0
Mar 27,219,18,213,3,0
Mar 28,241,22,234,4,1
Mar 29,259,18,250,6,2
Mar 30,285,26,266,7,1
Mar 31,329,44,308,9,2
Apr 01,354,25,326,11,2
Apr 02,384,30,356,11,0
Apr 03,430,46,398,12,1
