Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,22,null,15,0,0
Feb 16,22,0,14,0,0
Feb 17,22,0,13,0,0
Feb 18,22,0,11,0,0
Feb 19,22,0,7,0,0
Feb 20,22,0,5,0,0
Feb 21,22,0,5,0,0
Feb 22,22,0,5,0,0
Feb 23,22,0,4,0,0
Feb 24,22,0,5,0,0
Feb 25,22,0,2,0,0
Feb 26,22,0,2,0,0
Feb 27,22,0,2,0,0
Feb 28,25,3,5,0,0
Feb 29,25,0,5,0,0
Mar 01,29,4,7,0,0
Mar 02,29,0,7,0,0
Mar 03,36,7,14,0,0
Mar 04,50,14,28,0,0
Mar 05,55,5,33,0,0
Mar 06,83,28,60,0,0
Mar 07,93,10,70,0,0
Mar 08,99,6,75,0,0
Mar 09,117,18,93,0,0
Mar 10,129,12,42,0,0
Mar 11,149,20,123,0,0
Mar 12,158,9,132,0,0
Mar 13,197,39,165,0,0
Mar 14,238,41,203,0,0
Mar 15,428,190,386,0,0
Mar 16,566,138,524,0,0
Mar 17,673,107,622,2,2
Mar 18,790,117,728,2,0
Mar 19,900,110,823,2,0
Mar 20,1030,130,940,3,1
Mar 21,1183,153,1061,8,5
Mar 22,1306,123,1157,10,2
Mar 23,1518,212,1345,14,4
Mar 24,1624,106,1425,16,2
Mar 25,1796,172,1577,20,4
Mar 26,2031,235,1793,23,3
Mar 27,2161,130,1876,26,3
Mar 28,2320,159,1973,27,1
Mar 29,2470,150,2047,35,8
Mar 30,2626,156,2110,37,2
Mar 31,2766,140,2186,43,6
