Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,2,null,2,0,0
Mar 06,2,0,2,0,0
Mar 07,2,0,2,0,0
Mar 08,2,0,2,0,0
Mar 09,2,0,2,0,0
Mar 10,3,1,3,0,0
Mar 11,3,0,3,0,0
Mar 12,3,0,3,0,0
Mar 13,3,0,3,0,0
Mar 14,10,7,10,0,0
Mar 15,10,0,10,0,0
Mar 16,15,5,14,1,0
Mar 17,15,0,14,1,0
Mar 18,23,8,22,1,0
Mar 19,23,0,22,1,0
Mar 20,32,9,31,1,0
Mar 21,37,5,36,1,0
Mar 22,44,7,43,1,0
Mar 23,53,9,52,1,0
Mar 24,57,4,56,1,0
Mar 25,66,9,65,1,0
Mar 26,81,15,80,1,0
Mar 27,93,12,92,1,0
Mar 28,93,0,92,1,0
Mar 29,93,0,92,1,0
Mar 30,93,0,92,1,0
Mar 31,128,35,98,3,2
Apr 01,135,7,105,3,0
Apr 02,138,3,108,3,0
Apr 03,143,5,113,3,0
Apr 04,145,2,115,3,0
