Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,0,null,0,0,0
Mar 14,0,null,0,0,0
Mar 15,0,null,0,0,0
Mar 16,0,null,0,0,0
Mar 17,0,null,0,0,0
Mar 18,3,null,3,0,0
Mar 19,7,4,7,0,0
Mar 20,12,5,12,0,0
Mar 21,14,2,13,1,0
Mar 22,28,14,26,2,1
Mar 23,36,8,34,2,0
Mar 24,42,6,40,2,0
Mar 25,48,6,46,2,0
Mar 26,81,33,79,2,0
Mar 27,94,13,92,2,0
Mar 28,102,8,100,2,0
Mar 29,107,5,104,3,1
Mar 30,128,21,125,3,0
Mar 31,143,15,138,5,2
Apr 01,161,18,155,6,1
Apr 02,169,8,162,7,1
Apr 03,186,17,179,7,0
Apr 04,196,10,182,7,0
