Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,2,null,2,0,0
Feb 29,4,2,4,0,0
Mar 01,5,1,5,0,0
Mar 02,6,1,6,0,0
Mar 03,6,0,5,0,0
Mar 04,6,0,5,0,0
Mar 05,6,0,5,0,0
Mar 06,6,0,5,0,0
Mar 07,6,0,5,0,0
Mar 08,7,1,6,0,0
Mar 09,7,0,3,0,0
Mar 10,7,0,3,0,0
Mar 11,11,4,7,0,0
Mar 12,12,1,8,0,0
Mar 13,15,3,11,0,0
Mar 14,26,11,22,0,0
Mar 15,43,17,39,0,0
Mar 16,53,10,49,0,0
Mar 17,82,29,78,0,0
Mar 18,93,11,89,0,0
Mar 19,118,25,113,1,1
Mar 20,164,46,159,1,0
Mar 21,203,39,197,2,1
Mar 22,251,48,245,2,0
Mar 23,316,65,309,3,1
Mar 24,367,51,359,4,1
Mar 25,405,38,396,5,1
Mar 26,475,70,465,6,1
Mar 27,585,110,573,8,2
Mar 28,717,132,701,12,4
Mar 29,848,131,797,16,4
Mar 30,993,145,938,20,4
Mar 31,1094,101,1031,28,8
Apr 01,1215,121,1151,29,1
Apr 02,1378,163,1306,37,8
Apr 03,1510,132,827,50,13
