Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,1,null,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,3,2,3,0,0
Mar 11,3,0,3,0,0
Mar 12,6,3,6,0,0
Mar 13,6,0,6,0,0
Mar 14,12,6,12,0,0
Mar 15,23,11,23,0,0
Mar 16,29,6,28,0,0
Mar 17,30,1,29,0,0
Mar 18,36,6,34,1,0
Mar 19,49,13,47,1,0
Mar 20,66,17,64,1,0
Mar 21,80,14,78,1,0
Mar 22,94,14,92,1,0
Mar 23,109,15,106,1,0
Mar 24,125,16,122,1,0
Mar 25,149,24,146,1,0
Mar 26,177,28,174,1,0
Mar 27,199,22,195,2,1
Mar 28,231,32,227,2,0
Mar 29,263,32,259,2,0
Mar 30,298,35,281,2,0
Mar 31,353,55,331,4,2
Apr 01,423,70,395,5,1
Apr 02,505,82,476,6,1
Apr 03,591,86,557,8,2
